"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","OILPROD","TOT","KTOE","A","1960",,"L"
"AUS","OILPROD","TOT","KTOE","A","1961",,"L"
"AUS","OILPROD","TOT","KTOE","A","1962",,"L"
"AUS","OILPROD","TOT","KTOE","A","1963",,"L"
"AUS","OILPROD","TOT","KTOE","A","1964",,"L"
"AUS","OILPROD","TOT","KTOE","A","1965",,"L"
"AUS","OILPROD","TOT","KTOE","A","1966",,"L"
"AUS","OILPROD","TOT","KTOE","A","1967",,"L"
"AUS","OILPROD","TOT","KTOE","A","1968",,"L"
"AUS","OILPROD","TOT","KTOE","A","1969",,"L"
"AUS","OILPROD","TOT","KTOE","A","1970",,"L"
"AUS","OILPROD","TOT","KTOE","A","1971",14226.1938,
"AUS","OILPROD","TOT","KTOE","A","1972",15029.0939,
"AUS","OILPROD","TOT","KTOE","A","1973",18720.5771,
"AUS","OILPROD","TOT","KTOE","A","1974",18498.6959,
"AUS","OILPROD","TOT","KTOE","A","1975",19736.0703,
"AUS","OILPROD","TOT","KTOE","A","1976",20177.7686,
"AUS","OILPROD","TOT","KTOE","A","1977",21259.3102,
"AUS","OILPROD","TOT","KTOE","A","1978",20694.8033,
"AUS","OILPROD","TOT","KTOE","A","1979",20828.964,
"AUS","OILPROD","TOT","KTOE","A","1980",19471.8769,
"AUS","OILPROD","TOT","KTOE","A","1981",19007.4745,
"AUS","OILPROD","TOT","KTOE","A","1982",18706.129,
"AUS","OILPROD","TOT","KTOE","A","1983",18220.0545,
"AUS","OILPROD","TOT","KTOE","A","1984",22148.8988,
"AUS","OILPROD","TOT","KTOE","A","1985",25468.86,
"AUS","OILPROD","TOT","KTOE","A","1986",26561.5586,
"AUS","OILPROD","TOT","KTOE","A","1987",26399.7644,
"AUS","OILPROD","TOT","KTOE","A","1988",26322.9235,
"AUS","OILPROD","TOT","KTOE","A","1989",23679.7053,
"AUS","OILPROD","TOT","KTOE","A","1990",26752.604,
"AUS","OILPROD","TOT","KTOE","A","1991",26717.9354,
"AUS","OILPROD","TOT","KTOE","A","1992",23439.1262,
"AUS","OILPROD","TOT","KTOE","A","1993",22940.1084,
"AUS","OILPROD","TOT","KTOE","A","1994",21286.5212,
"AUS","OILPROD","TOT","KTOE","A","1995",22718.4395,
"AUS","OILPROD","TOT","KTOE","A","1996",20539.5704,
"AUS","OILPROD","TOT","KTOE","A","1997",20494.3962,
"AUS","OILPROD","TOT","KTOE","A","1998",22008.2585,
"AUS","OILPROD","TOT","KTOE","A","1999",16551.6307,
"AUS","OILPROD","TOT","KTOE","A","2000",25081.1572,
"AUS","OILPROD","TOT","KTOE","A","2001",26611.8285,
"AUS","OILPROD","TOT","KTOE","A","2002",30307.7115,
"AUS","OILPROD","TOT","KTOE","A","2003",29403.1762,
"AUS","OILPROD","TOT","KTOE","A","2004",25785.0349,
"AUS","OILPROD","TOT","KTOE","A","2005",22928.5522,
"AUS","OILPROD","TOT","KTOE","A","2006",20414.5534,
"AUS","OILPROD","TOT","KTOE","A","2007",23214.3056,
"AUS","OILPROD","TOT","KTOE","A","2008",21500.8362,
"AUS","OILPROD","TOT","KTOE","A","2009",22170.0453,
"AUS","OILPROD","TOT","KTOE","A","2010",23141.8167,
"AUS","OILPROD","TOT","KTOE","A","2011",22300.2448,
"AUS","OILPROD","TOT","KTOE","A","2012",20804.5898,
"AUS","OILPROD","TOT","KTOE","A","2013",18082.2999,
"AUS","OILPROD","TOT","KTOE","A","2014",17036.094,
"AUS","OILPROD","TOT","KTOE","A","2015",16158.6537,
"AUS","OILPROD","TOT","KTOE","A","2016",15783.1907,
